examId,name,type,classId,subjectId,maxMarks,passingMarks,examDate,academicYear,schoolId
EXM-0211,Grade 11-A MATH Final Exam,final,CLS-11A,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0212,Grade 11-A PHY Final Exam,final,CLS-11A,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0213,Grade 11-A CHEM Final Exam,final,CLS-11A,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0214,Grade 11-A ENG Final Exam,final,CLS-11A,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0215,Grade 11-A HIST Final Exam,final,CLS-11A,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0216,Grade 11-B MATH Final Exam,final,CLS-11B,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0217,Grade 11-B PHY Final Exam,final,CLS-11B,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0218,Grade 11-B CHEM Final Exam,final,CLS-11B,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0219,Grade 11-B ENG Final Exam,final,CLS-11B,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0220,Grade 11-B HIST Final Exam,final,CLS-11B,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
EXM-0221,Grade 11-C MATH Final Exam,final,CLS-11C,SUB-MATH,100,35,2026-04-20,2025-26,SCH-001
EXM-0222,Grade 11-C PHY Final Exam,final,CLS-11C,SUB-PHY,100,35,2026-04-20,2025-26,SCH-001
EXM-0223,Grade 11-C CHEM Final Exam,final,CLS-11C,SUB-CHEM,100,35,2026-04-20,2025-26,SCH-001
EXM-0224,Grade 11-C ENG Final Exam,final,CLS-11C,SUB-ENG,100,35,2026-04-20,2025-26,SCH-001
EXM-0225,Grade 11-C HIST Final Exam,final,CLS-11C,SUB-HIST,100,35,2026-04-20,2025-26,SCH-001
